dataset,model,family,roc_auc,precision,recall,f1,fit_seconds,score_seconds,train_size,test_size,n_features,contamination,error
anisotropic_blobs,NSAPSO,optimization,0.997348,0.532258,1.0,0.694737,0.006707,0.00046,300,273,2,0.120879,
anisotropic_blobs,IORNSA,optimization,0.997348,0.532258,1.0,0.694737,0.005749,0.000527,300,273,2,0.120879,
anisotropic_blobs,BIORVNSA,inhibition,0.998232,0.52381,1.0,0.6875,0.005189,0.000517,300,273,2,0.120879,
anisotropic_blobs,HNSAIDSA,hybrid,0.997348,0.532258,1.0,0.694737,0.001464,0.000473,300,273,2,0.120879,
anisotropic_blobs,NSAII,hybrid,0.997348,0.532258,1.0,0.694737,0.001366,0.000464,300,273,2,0.120879,
anisotropic_blobs,OALFBNSA,online/feedback,0.997348,0.532258,1.0,0.694737,0.001429,0.000463,300,273,2,0.120879,
anisotropic_blobs,FBNSA,online/feedback,0.997348,0.532258,1.0,0.694737,0.001322,0.000463,300,273,2,0.120879,
anisotropic_blobs,MNSA,ensemble,0.994318,0.121324,1.0,0.216393,0.004577,0.001551,300,273,2,0.120879,
anisotropic_blobs,NSNAD,feature-subspace,0.997348,0.532258,1.0,0.694737,0.001463,0.00045,300,273,2,0.120879,
anisotropic_blobs,RENNSA,reduced-overlap,0.997348,0.532258,1.0,0.694737,0.001992,0.000449,300,273,2,0.120879,
anisotropic_blobs,AINSA,adaptive,0.997348,0.532258,1.0,0.694737,0.005663,0.000436,300,273,2,0.120879,
anisotropic_blobs,ODNSA,optimization,0.997348,0.532258,1.0,0.694737,0.006124,0.000477,300,273,2,0.120879,
anisotropic_blobs,CNSA,clustering,0.997348,0.532258,1.0,0.694737,0.023623,0.000473,300,273,2,0.120879,
anisotropic_blobs,VORNSA,vectorized,0.997348,0.532258,1.0,0.694737,0.001412,0.000442,300,273,2,0.120879,
varied_density,BinaryNSA,binary/string,0.705313,0.505882,0.5375,0.521212,0.003661,0.00451,300,340,2,0.235294,
varied_density,RNSA,real-valued,0.959519,0.524138,0.95,0.675556,0.001628,0.000572,300,340,2,0.235294,
varied_density,RRNSA,real-valued,0.959519,0.524138,0.95,0.675556,0.001359,0.00056,300,340,2,0.235294,
varied_density,VDetector,v-detector,0.959663,0.524138,0.95,0.675556,0.001324,0.000542,300,340,2,0.235294,
varied_density,GridNSA,grid/matrix,0.784014,0.973684,0.4625,0.627119,0.000672,0.000558,300,340,2,0.235294,
varied_density,GFRNSA,grid/matrix,0.759207,0.973684,0.4625,0.627119,0.000622,0.000547,300,340,2,0.235294,
varied_density,MatrixNSA,grid/matrix,0.784014,0.973684,0.4625,0.627119,0.000607,0.000544,300,340,2,0.235294,
varied_density,ANSA,adaptive,0.959615,0.524138,0.95,0.675556,0.003656,0.000631,300,340,2,0.235294,
varied_density,EvoSeedRNSA,optimization,0.959904,0.524138,0.95,0.675556,0.005405,0.000488,300,340,2,0.235294,
varied_density,ORNSA,boundary-aware,0.981971,0.47619,1.0,0.645161,0.00189,0.000496,300,340,2,0.235294,
varied_density,OptimizedNSA,optimization,0.963221,0.516779,0.9625,0.672489,0.008702,0.000725,300,340,2,0.235294,
varied_density,FtNSA,feature/self-space,0.981202,0.47619,1.0,0.645161,0.001776,0.000652,300,340,2,0.235294,
varied_density,IVRNSA,variable-radius,0.963029,0.516779,0.9625,0.672489,0.004569,0.000503,300,340,2,0.235294,
varied_density,CBNSA,clustering,0.959663,0.524138,0.95,0.675556,0.019945,0.000584,300,340,2,0.235294,
varied_density,PRR2NSA,clustering,0.959808,0.524138,0.95,0.675556,0.017325,0.000574,300,340,2,0.235294,
varied_density,DENSA,density,0.959567,0.524138,0.95,0.675556,0.004176,0.00056,300,340,2,0.235294,
varied_density,AntigenNSA,density,0.959519,0.524138,0.95,0.675556,0.004032,0.000644,300,340,2,0.235294,
varied_density,NSADE,optimization,0.959663,0.524138,0.95,0.675556,0.00537,0.000567,300,340,2,0.235294,
varied_density,NSAPSO,optimization,0.959567,0.524138,0.95,0.675556,0.016138,0.000502,300,340,2,0.235294,
varied_density,IORNSA,optimization,0.959615,0.524138,0.95,0.675556,0.005663,0.000512,300,340,2,0.235294,
varied_density,BIORVNSA,inhibition,0.967837,0.52,0.975,0.678261,0.004615,0.000528,300,340,2,0.235294,
varied_density,HNSAIDSA,hybrid,0.959615,0.524138,0.95,0.675556,0.001388,0.000483,300,340,2,0.235294,
varied_density,NSAII,hybrid,0.959856,0.524138,0.95,0.675556,0.001452,0.000564,300,340,2,0.235294,
varied_density,OALFBNSA,online/feedback,0.959712,0.524138,0.95,0.675556,0.001337,0.000552,300,340,2,0.235294,
varied_density,FBNSA,online/feedback,0.959904,0.524138,0.95,0.675556,0.001596,0.000564,300,340,2,0.235294,
varied_density,MNSA,ensemble,0.955769,0.973684,0.4625,0.627119,0.004211,0.001586,300,340,2,0.235294,
varied_density,NSNAD,feature-subspace,0.959375,0.524138,0.95,0.675556,0.001392,0.000482,300,340,2,0.235294,
varied_density,RENNSA,reduced-overlap,0.959519,0.524138,0.95,0.675556,0.001885,0.00048,300,340,2,0.235294,
varied_density,AINSA,adaptive,0.959663,0.524138,0.95,0.675556,0.005294,0.000567,300,340,2,0.235294,
varied_density,ODNSA,optimization,0.959519,0.524138,0.95,0.675556,0.005785,0.000489,300,340,2,0.235294,
varied_density,CNSA,clustering,0.959663,0.524138,0.95,0.675556,0.021852,0.000504,300,340,2,0.235294,
varied_density,VORNSA,vectorized,0.959519,0.524138,0.95,0.675556,0.001337,0.000487,300,340,2,0.235294,
two_moons,BinaryNSA,binary/string,0.921328,0.721649,0.875,0.79096,0.00356,0.004299,300,320,2,0.25,
two_moons,RNSA,real-valued,1.0,0.629921,1.0,0.772947,0.001486,0.000508,300,320,2,0.25,
two_moons,RRNSA,real-valued,1.0,0.629921,1.0,0.772947,0.001443,0.0005,300,320,2,0.25,
two_moons,VDetector,v-detector,1.0,0.629921,1.0,0.772947,0.001324,0.000488,300,320,2,0.25,
two_moons,GridNSA,grid/matrix,0.931615,0.928571,0.8125,0.866667,0.000676,0.000525,300,320,2,0.25,
two_moons,GFRNSA,grid/matrix,0.924688,0.928571,0.8125,0.866667,0.000622,0.00053,300,320,2,0.25,
two_moons,MatrixNSA,grid/matrix,0.934896,0.928571,0.8125,0.866667,0.000613,0.000512,300,320,2,0.25,
two_moons,ANSA,adaptive,1.0,0.629921,1.0,0.772947,0.003691,0.000461,300,320,2,0.25,
two_moons,EvoSeedRNSA,optimization,1.0,0.629921,1.0,0.772947,0.005619,0.000562,300,320,2,0.25,
two_moons,ORNSA,boundary-aware,1.0,0.526316,1.0,0.689655,0.001879,0.000499,300,320,2,0.25,
two_moons,OptimizedNSA,optimization,1.0,0.620155,1.0,0.76555,0.008646,0.000501,300,320,2,0.25,
two_moons,FtNSA,feature/self-space,1.0,0.526316,1.0,0.689655,0.001859,0.00047,300,320,2,0.25,
two_moons,IVRNSA,variable-radius,0.999948,0.615385,1.0,0.761905,0.004163,0.000462,300,320,2,0.25,
two_moons,CBNSA,clustering,1.0,0.629921,1.0,0.772947,0.020684,0.000594,300,320,2,0.25,
two_moons,PRR2NSA,clustering,1.0,0.629921,1.0,0.772947,0.019679,0.000533,300,320,2,0.25,
two_moons,DENSA,density,1.0,0.629921,1.0,0.772947,0.004275,0.000474,300,320,2,0.25,
two_moons,AntigenNSA,density,1.0,0.629921,1.0,0.772947,0.004048,0.000454,300,320,2,0.25,
two_moons,NSADE,optimization,1.0,0.629921,1.0,0.772947,0.005416,0.000457,300,320,2,0.25,
two_moons,NSAPSO,optimization,1.0,0.629921,1.0,0.772947,0.006067,0.000479,300,320,2,0.25,
two_moons,IORNSA,optimization,1.0,0.629921,1.0,0.772947,0.005347,0.000476,300,320,2,0.25,
two_moons,BIORVNSA,inhibition,0.999948,0.615385,1.0,0.761905,0.004338,0.000483,300,320,2,0.25,
two_moons,HNSAIDSA,hybrid,1.0,0.629921,1.0,0.772947,0.001328,0.000466,300,320,2,0.25,
two_moons,NSAII,hybrid,1.0,0.629921,1.0,0.772947,0.001297,0.000456,300,320,2,0.25,
two_moons,OALFBNSA,online/feedback,1.0,0.629921,1.0,0.772947,0.001394,0.000453,300,320,2,0.25,
two_moons,FBNSA,online/feedback,1.0,0.629921,1.0,0.772947,0.00158,0.000495,300,320,2,0.25,
two_moons,MNSA,ensemble,0.996042,0.970149,0.8125,0.884354,0.004084,0.001449,300,320,2,0.25,
two_moons,NSNAD,feature-subspace,1.0,0.629921,1.0,0.772947,0.001594,0.00052,300,320,2,0.25,
two_moons,RENNSA,reduced-overlap,1.0,0.629921,1.0,0.772947,0.001945,0.000476,300,320,2,0.25,
two_moons,AINSA,adaptive,1.0,0.629921,1.0,0.772947,0.005528,0.000486,300,320,2,0.25,
two_moons,ODNSA,optimization,1.0,0.629921,1.0,0.772947,0.006191,0.000484,300,320,2,0.25,
two_moons,CNSA,clustering,1.0,0.629921,1.0,0.772947,0.023799,0.000475,300,320,2,0.25,
two_moons,VORNSA,vectorized,1.0,0.629921,1.0,0.772947,0.001374,0.00046,300,320,2,0.25,
nested_circles,BinaryNSA,binary/string,0.832957,0.645161,0.75,0.693642,0.003665,0.004696,300,340,2,0.235294,
nested_circles,RNSA,real-valued,0.999904,0.625,1.0,0.769231,0.001562,0.000555,300,340,2,0.235294,
nested_circles,RRNSA,real-valued,0.999904,0.625,1.0,0.769231,0.001344,0.000551,300,340,2,0.235294,
nested_circles,VDetector,v-detector,0.999904,0.625,1.0,0.769231,0.001428,0.000481,300,340,2,0.235294,
nested_circles,GridNSA,grid/matrix,0.948269,0.984375,0.7875,0.875,0.000666,0.000473,300,340,2,0.235294,
nested_circles,GFRNSA,grid/matrix,0.947428,0.984375,0.7875,0.875,0.000622,0.000462,300,340,2,0.235294,
nested_circles,MatrixNSA,grid/matrix,0.944567,0.984375,0.7875,0.875,0.000618,0.000463,300,340,2,0.235294,
nested_circles,ANSA,adaptive,0.999904,0.625,1.0,0.769231,0.003953,0.000548,300,340,2,0.235294,
nested_circles,EvoSeedRNSA,optimization,0.999904,0.625,1.0,0.769231,0.005472,0.000495,300,340,2,0.235294,
nested_circles,ORNSA,boundary-aware,0.992115,0.490798,1.0,0.658436,0.001752,0.000474,300,340,2,0.235294,
nested_circles,OptimizedNSA,optimization,0.999567,0.615385,1.0,0.761905,0.008587,0.000541,300,340,2,0.235294,
nested_circles,FtNSA,feature/self-space,0.991587,0.490798,1.0,0.658436,0.001896,0.000464,300,340,2,0.235294,
nested_circles,IVRNSA,variable-radius,0.999471,0.620155,1.0,0.76555,0.004055,0.000477,300,340,2,0.235294,
nested_circles,CBNSA,clustering,0.999904,0.625,1.0,0.769231,0.021754,0.00057,300,340,2,0.235294,
nested_circles,PRR2NSA,clustering,0.999856,0.625,1.0,0.769231,0.019676,0.000569,300,340,2,0.235294,
nested_circles,DENSA,density,0.999904,0.625,1.0,0.769231,0.004121,0.000559,300,340,2,0.235294,
nested_circles,AntigenNSA,density,0.999904,0.625,1.0,0.769231,0.004216,0.000481,300,340,2,0.235294,
nested_circles,NSADE,optimization,0.999904,0.625,1.0,0.769231,0.005246,0.000468,300,340,2,0.235294,
nested_circles,NSAPSO,optimization,0.999904,0.625,1.0,0.769231,0.006035,0.000478,300,340,2,0.235294,
nested_circles,IORNSA,optimization,0.999904,0.625,1.0,0.769231,0.005232,0.000472,300,340,2,0.235294,
nested_circles,BIORVNSA,inhibition,0.999952,0.615385,1.0,0.761905,0.004198,0.000471,300,340,2,0.235294,
nested_circles,HNSAIDSA,hybrid,0.999904,0.625,1.0,0.769231,0.001277,0.000471,300,340,2,0.235294,
nested_circles,NSAII,hybrid,0.999904,0.625,1.0,0.769231,0.001264,0.000461,300,340,2,0.235294,
nested_circles,OALFBNSA,online/feedback,0.999904,0.625,1.0,0.769231,0.00125,0.000459,300,340,2,0.235294,
nested_circles,FBNSA,online/feedback,0.999904,0.625,1.0,0.769231,0.001258,0.000462,300,340,2,0.235294,
nested_circles,MNSA,ensemble,0.998654,1.0,0.7625,0.865248,0.004031,0.0015,300,340,2,0.235294,
nested_circles,NSNAD,feature-subspace,0.999904,0.625,1.0,0.769231,0.001313,0.00047,300,340,2,0.235294,
nested_circles,RENNSA,reduced-overlap,0.999904,0.625,1.0,0.769231,0.001676,0.000463,300,340,2,0.235294,
nested_circles,AINSA,adaptive,0.999904,0.625,1.0,0.769231,0.005299,0.00047,300,340,2,0.235294,
nested_circles,ODNSA,optimization,0.999904,0.625,1.0,0.769231,0.005597,0.000479,300,340,2,0.235294,
nested_circles,CNSA,clustering,1.0,0.625,1.0,0.769231,0.024144,0.000555,300,340,2,0.235294,
nested_circles,VORNSA,vectorized,0.999904,0.625,1.0,0.769231,0.001393,0.00048,300,340,2,0.235294,
ring_outliers,BinaryNSA,binary/string,0.461932,0.0,0.0,0.0,0.003663,0.004037,300,300,2,0.266667,
ring_outliers,RNSA,real-valued,1.0,0.555556,1.0,0.714286,0.001563,0.000548,300,300,2,0.266667,
ring_outliers,RRNSA,real-valued,1.0,0.555556,1.0,0.714286,0.001328,0.000494,300,300,2,0.266667,
ring_outliers,VDetector,v-detector,0.999943,0.551724,1.0,0.711111,0.001301,0.000483,300,300,2,0.266667,
ring_outliers,GridNSA,grid/matrix,0.99392,0.620155,1.0,0.76555,0.0007,0.000516,300,300,2,0.266667,
ring_outliers,GFRNSA,grid/matrix,0.994062,0.592593,1.0,0.744186,0.000619,0.000507,300,300,2,0.266667,
ring_outliers,MatrixNSA,grid/matrix,0.996051,0.672269,1.0,0.80402,0.000618,0.000507,300,300,2,0.266667,
ring_outliers,ANSA,adaptive,1.0,0.551724,1.0,0.711111,0.00364,0.000489,300,300,2,0.266667,
ring_outliers,EvoSeedRNSA,optimization,0.999943,0.551724,1.0,0.711111,0.005342,0.000492,300,300,2,0.266667,
ring_outliers,ORNSA,boundary-aware,1.0,0.484848,1.0,0.653061,0.001756,0.000491,300,300,2,0.266667,
ring_outliers,OptimizedNSA,optimization,1.0,0.544218,1.0,0.704846,0.008601,0.000556,300,300,2,0.266667,
ring_outliers,FtNSA,feature/self-space,1.0,0.490798,1.0,0.658436,0.001915,0.000515,300,300,2,0.266667,
ring_outliers,IVRNSA,variable-radius,1.0,0.544218,1.0,0.704846,0.004554,0.000535,300,300,2,0.266667,
ring_outliers,CBNSA,clustering,0.999716,0.551724,1.0,0.711111,0.01936,0.000523,300,300,2,0.266667,
